clctr_name,clctr_name2,dist,ace_left,ace_right,is_same_APE,correct_name
Marilynn Alsdorf,Marilyn Alsdorf,1,ACE235,ACE4,1,"Marilynn Alsdorf"
Erika Hoffmann,Erika Hoffman,1,ACE430--ACE430,ACE290,1,"Erika Hoffmann"
Wayne Wrightsman,Jayne Wrightsman,1,ACE275,ACE199--ACE415,0,""
Annette Brandhorst,Anette Brandhorst,1,ACE530,ACE418,1,"Anette Brandhorst"
Michal Hornstein,Michael Hornstein,1,ACE339--ACE431,ACE248,0,""
Sieji Tsutsumi,Seiji Tsutsumi,1,ACE230,ACE269,1,"Seiji Tsutsumi"
Rudolf Scharpff,Rudolf Scharpf,1,ACE509,ACE410,1,"Rudolf Scharpff"
Francis Dittmer,Frances Dittmer,1,ACE48,ACE423,1,"Frances Dittmer"
Uri Knecht,Uli Knecht,1,ACE434,ACE468,1,"Uli Knecht"
Thomas Shao,Thomas Chao,1,ACE728--ACE728--ACE728,ACE692--ACE692,1,"Thomas Chao"
Barbara Lee,Barbara Lane,2,ACE554,ACE252,0,""
Norman Stone,Norah Stone,2,ACE357--ACE477,ACE357,0,""
Saul Steinberg,Paul Sternberg,2,ACE176,ACE454,0,""
Gilberto Chateaubriand,Alberto Chateaubriand,2,ACE242,ACE38,0,""
Eric de Rothschild,Elie de Rothschild,2,ACE220,ACE219,0,""
Giovanni Agnelli,Gianni Agnelli,2,ACE2,ACE361,1,"Gianni Agnelli"
Eric Smidt,Eric Schmidt,2,ACE639,ACE615,0,""
Yang Bin,Wang Bing,2,ACE704,ACE808,0,""
Thomas Lau,Thomas Chao,3,ACE720,ACE692,0,""
Barbara Levine,Barbara Lane,3,ACE677,ACE252,0,""
Barbara Levine,Barbara Lee,3,ACE677,ACE554,0,""
Mary Bloch,Marion Bloch,3,ACE24,ACE23,0,""
Linda Macklowe,Linda Janklow,3,ACE109,ACE340,0,""
Barbara Lane,Barbara Landau,3,ACE252,ACE343,0,""
Peter Kraus,Peter Haas,3,ACE541,ACE427,0,""
Barney Ebsworth,Barney A. Ebsworth,3,ACE285,ACE463,1,"Barney A. Ebsworth"
David Tang,David Ganek,3,ACE411,ACE517--ACE535,0,""
Susan Marx,Susan Hort,3,ACE633,ACE537,0,""
Werner Kramarsky,Werner H. Kramarsky,3,ACE399,ACE540,1,"Werner H. Kramarsky"
Alan Howard,Alan Horn,3,ACE695,ACE602,0,""
Lisa Tananbaum,Dana Tananbaum,3,ACE607,ACE616,0,""
Lisa Tananbaum,Jim Tananbaum,3,ACE607,ACE616,0,""
Robert Toll,Robbi Toll,3,ACE687,ACE641,0,""
Robert Tsao,Robert Toll,3,ACE832,ACE687,0,""
Michael Lynne,Michael Latner,3,ACE542--ACE555,ACE696,0,""
Warren Eisenberg,Martin Eisenberg,3,ACE714,ACE715,0,""
Mary Bloch,Mark Booth,3,ACE24,ACE780,0,""
Idan Ofer,Eyal Ofer,3,ACE826--ACE847,ACE826--ACE846,0,""
Arthur Lim,Arthur Lewis,3,ACE254,ACE843,0,""
Alan Horn,Alan Bond,3,ACE602,ACE26,0,""
Edward R. Broida,Edward Broida,3,ACE419,ACE33,1,"Edward R. Broida"
John Paul Getty II,J. Paul Getty II,3,ACE518,ACE65,1,"John Paul Getty II"
Ann Gund,Agnes Gund,3,ACE570,ACE72,0,""
Robert P. Kogod,Robert Kogod,3,ACE398,ACE96,1,"Robert P. Kogod"
Robert Soros,Robert Kogod,3,ACE850,ACE96,0,""
Leonard Lauder,Leonard A. Lauder,3,ACE435,ACE103,1,"Leonard A. Lauder"
Jorge Ortiz-Patiño,Jaime Ortiz-Patiño,3,ACE294,ACE142,0,""
Joseph Pulitzer Jr,Joseph Pulitzer,3,ACE260,ACE150,1,"Joseph Pulitzer Jr"
Robert Tobin,Robert Rowan,3,ACE187,ACE156,0,""
Robert Smith,Robert H. Smith,3,ACE377,ACE169,1,"Robert H. Smith"
Robert Toll,Robert Tobin,3,ACE687,ACE187,0,""
William True,William Lane,3,ACE527,ACE212,0,""
Raymond Nasher,Raymond D. Nasher,3,ACE132,ACE258,1,"Raymond D. Nasher"
Samuel Josefowitz,Sam Josefowitz,3,ACE88,ACE319,1,"Samuel Josefowitz"
Peter Ludwig,Peter Lewis,3,ACE108--ACE345,ACE373,0,""
Paul Mellon,Paul Allen,3,ACE120--ACE439,ACE381,0,""
Bruce Halle,Bruce Bailey,3,ACE621,ACE416,0,""
Adam Sender,Adam D. Sender,3,ACE637,ACE561,1,"Adam Sender"
Joseph Lewis,Joe Lewis,3,ACE402,ACE665,1,"Joseph Lewis"
Richard Lane,Richard Chang,3,ACE252,ACE691,0,""
Richard Shack,Richard Chang,3,ACE496,ACE691,0,""
Thomas Shao,Thomas Lau,3,ACE728,ACE720,0,""
David Bowie,David Booth,3,ACE387,ACE810,0,""
Maja Hoffmann,Erika Hoffmann,4,ACE740,ACE430,0,""
Gary Fegel,Carl Vogel,4,ACE815,ACE271,0,""
Yael Fegel,Carl Vogel,4,ACE815,ACE271,0,""
Wang Wei,Wang Bing,4,ACE688,ACE808,0,""
Richard Shack,Richard Lane,4,ACE496,ACE252,0,""
Richard Tsai,Richard Lane,4,ACE831,ACE252,0,""
David Davis,David Bowie,4,ACE462,ACE387,0,""
Peter Lewis,Peter Haas,4,ACE373,ACE427,0,""
Peter Sharp,Peter Haas,4,ACE265,ACE427,0,""
Richard Tsai,Richard Shack,4,ACE831,ACE496,0,""
David Geffen,David Ganek,4,ACE62,ACE517--ACE535,0,""
Peter Lewis,Peter Kraus,4,ACE373,ACE541,0,""
Peter Sharp,Peter Kraus,4,ACE265,ACE541,0,""
Susan Hort,Alan Horn,4,ACE537,ACE602,0,""
Joey Tanenbaum,Jim Tananbaum,4,ACE304--ACE456,ACE616,0,""
Ida Sanders,Adam Sender,4,ACE352,ACE637,0,""
Mitzi Eisenberg,Martin Eisenberg,4,ACE714,ACE715,0,""
Peter Lewis,Arthur Lewis,4,ACE373,ACE843,0,""
Alan Howard,Alan Bond,4,ACE695,ACE26,0,""
Ann Gund,Alan Bond,4,ACE570,ACE26,0,""
Robert Toll,Robert Kogod,4,ACE687,ACE96,0,""
Robert Tobin,Robert Kogod,4,ACE187,ACE96,0,""
Robert Tsao,Robert Kogod,4,ACE832,ACE96,0,""
Robert Rowan,Robert Kogod,4,ACE156,ACE96,0,""
Robert Magoon,Robert Kogod,4,ACE632,ACE96,0,""
Ronald S. Lauder,Leonard A. Lauder,4,ACE104--ACE436,ACE103,0,""
Robert Toll,Robert Rowan,4,ACE687,ACE156,0,""
Robert Tsao,Robert Rowan,4,ACE832,ACE156,0,""
Robert Soros,Robert Rowan,4,ACE850,ACE156,0,""
Robert Vivian,Robert Rowan,4,ACE189,ACE156,0,""
Robert Tsao,Robert Tobin,4,ACE832,ACE187,0,""
Robert Vivian,Robert Tobin,4,ACE189,ACE187,0,""
Petra Levin,Peter Lewis,4,ACE787,ACE373,0,""
Robert Soros,Robert Smith,4,ACE850,ACE377,0,""
David Teiger,David Tang,4,ACE608,ACE411,0,""
Peter Lewis,Joe Lewis,4,ACE373,ACE665,0,""
Richard Tsai,Richard Chang,4,ACE831,ACE691,0,""
Mark Booth,David Booth,4,ACE780,ACE810,0,""
Robert Toll,Robert Soros,4,ACE687,ACE850,0,""
Robert Tobin,Robert Soros,4,ACE187,ACE850,0,""
Robert Tsao,Robert Soros,4,ACE832,ACE850,0,""
Thomas Walther,Thomas Dittmer,4,ACE272,ACE48,0,""
Joe Rank,Jo Ann,4,ACE151,ACE61,0,""
Li Lin,Jo Ann,4,ACE767,ACE61,0,""
Danny Goldberg,Carol Goldberg,4,ACE764,ACE67,0,""
William Koch,William Hokin,4,ACE95,ACE81,0,""
Anne Marion,Anne Hokin,4,ACE521,ACE81,0,""
Peter Simon,Peter Norton,4,ACE584,ACE135--ACE505,0,""
Nathan Smooke,Marion Smooke,4,ACE170,ACE170--ACE303,0,""
Jay Glazer,Jan Mayer,4,ACE335,ACE256,0,""
Frederick Singer,Frederick Mayer,4,ACE729,ACE256,0,""
Susan Weber,John Weber,4,ACE657,ACE193--ACE273,0,""
Miguel Capriles,Magaly Capriles,4,ACE35,ACE281,0,""
Miguel Capriles,Miguel Angel Capriles,4,ACEYY,ACEXXX,1,"Miguel Angel Capriles"
Jay Rockefeller,David Rockefeller,4,ACE493,ACE298--ACE376,0,""
George Lucas,George Abrams,4,ACE844,ACE309,0,""
John Weber,John Powers,4,ACE193--ACE273,ACE322,0,""
Peter Ludwig,Irene Ludwig,4,ACE108--ACE345,ACE345--ACE404,0,""
Mary Shirley,Jon Shirley,4,ACE452,ACE353--ACE452,0,""
Marilynn Thoma,Marilyn Thomson,4,ACE858,ACE358,0,""
Norman Stone,Donna Stone,4,ACE357--ACE477,ACE379,0,""
Norah Stone,Donna Stone,4,ACE357,ACE379,0,""
Herbert Black,Debra Black,4,ACE386,ACE385,0,""
Scott Black,Leon Black,4,ACE363,ACE385,0,""
Vicki Sant,Vicki Logan,4,ACE703,ACE437,0,""
David Tang,David Davis,4,ACE411,ACE462,0,""
David Ganek,David Davis,4,ACE517--ACE535,ACE462,0,""
David Mirvish,David Davis,4,ACE291,ACE462,0,""
Peggy Rockefeller,Jay Rockefeller,4,ACE298,ACE493,0,""
Martijn Sanders,Marieke Sanders,4,ACE300--ACE494,ACE508,0,""
Michael Ovitz,Michael Hort,4,ACE143--ACE347--ACE444,ACE537,0,""
Anne Titze,Anne Fisher,4,ACE772,ACE552,0,""
Susan Manilow,Susan Magnier,4,ACE110,ACE556,0,""
John Marion,John Magnier,4,ACE521,ACE556,0,""
Frank Moore,Frank Cohen,4,ACE745,ACE549--ACE566,0,""
Karen Cohen,Frank Cohen,4,ACE315,ACE549--ACE566,0,""
Tom Pritzker,Lisa Pritzker,4,ACE724,ACE580,0,""
Laurent Asscher,Lauren Taschen,4,ACE777,ACE586,0,""
Karen Cohen,Karen Boros,4,ACE315,ACE591,0,""
Christian Bührle,Christian Boros,4,ACE708,ACE591,0,""
Agnes Gund,Agnes Essl,4,ACE72,ACE597,0,""
Margrit Hahnloser,Mania Hahnloser,4,ACE571,ACE599,0,""
Paul Hahnloser,Mania Hahnloser,4,ACE571,ACE599,0,""
Karen Cohen,Eileen Cohen,4,ACE315,ACE611,0,""
Eileen Norton,Eileen Cohen,4,ACE135,ACE611,0,""
Michael Lynne,Michael Cohen,4,ACE542--ACE555,ACE611,0,""
Michael Hort,Michael Cohen,4,ACE537,ACE611,0,""
Janine Hill,Jane Toll,4,ACE519,ACE687,0,""
Yang Bin,Wang Wei,4,ACE704,ACE688,0,""
Robert Tsao,Robert Drake,4,ACE832,ACE693,0,""
Steven Rales,Steven Latner,4,ACE559,ACE696,0,""
Larry Fink,Larry Fields,4,ACE817,ACE718,0,""
Liberty Ross,Hilary Ross,4,ACE819,ACE726,0,""
Stephen Swid,Stephen Levin,4,ACE179,ACE787,0,""
Thomas Shao,Komal Shah,4,ACE728,ACE805,0,""
Sammy Ofer,Batia Ofer,4,ACE136,ACE847,0,""
Yan Du,B.L Au,4,ACE860,ACE10,0,""
Martin Visser,Martin Blinder,4,ACE306,ACE22,0,""
Judy Dayton,Bruce Dayton,4,ACE330,ACE47,0,""
David Teiger,David Geffen,4,ACE608,ACE62,0,""
Robert Toll,Robert Halff,4,ACE687,ACE74,0,""
Tatsumi Sato,Takuji Kato,4,ACE582,ACE91,0,""
Frederik Roos,Frederick Koch,4,ACE154,ACE94,0,""
William Lane,William Koch,4,ACE212,ACE95,0,""
William True,William Koch,4,ACE527,ACE95,0,""
John Goulandris,Alex Goulandris,4,ACE70,ACE208,0,""
Joseph Lewis,Joseph Lau,4,ACE402,ACE213,0,""
Joseph Safra,Joseph Lau,4,ACE727,ACE213,0,""
Jan Mayer,Jan Ahlers,4,ACE256,ACE234,0,""
George Ti,George Ortiz,4,ACE267,ACE259,0,""
Peter Sharp,Dieter Scharf,4,ACE265,ACE263,0,""
Walther Scharf,Dieter Scharf,4,ACE264,ACE263,0,""
Peter Simon,Peter Sharp,4,ACE584,ACE265,0,""
Robert Tsao,Robert Hiscox,4,ACE832,ACE393,0,""
Jarl Mohn,Carl Icahn,4,ACE678,ACE394,0,""
Carol Rahr,Carl Icahn,4,ACE544,ACE394,0,""
John Marion,John Kaldor,4,ACE521,ACE396,0,""
John Kluge,John Kaldor,4,ACE251,ACE396,0,""
Robert Toll,Robert Miller,4,ACE687,ACE440,0,""
Jo Ann,Jho Low,4,ACE61,ACE721,0,""
Stephen Swid,Stephen Ross,4,ACE179,ACE725,0,""
Larry Marx,Larry Fink,4,ACE633,ACE817,0,""
Larry Marx,Barry Lam,4,ACE633,ACE822,0,""
Harry Hyams,Barry Lam,4,ACE317,ACE822,0,""
Yang Bin,Yan Du,4,ACE704,ACE860,0,""
Annibale Berlingieri,Marchese Annibale Berlingieri,,,,1,"Marchese Annibale Berlingieri"
Frances Bowes,Frances Garland Bowes,,,,1,"Frances Bowes"
Mary Griggs Burke,Mary Livingston Griggs Burke,,,,1,"Mary Griggs Burke"
Giorgio Franchetti,Baron Giorgio Franchetti,,,,1,"Giorgio Franchetti"
Peter Palumbo,Lord Peter Palumbo,,,,1,"Peter Palumbo"
Robert Tobin,Robert L. B. Tobin,,,,1,"Robert L. B. Tobin"
Charlotte Weber,Charlotte Colket Weber,,,,1,"Charlotte Colket Weber"
