PMDB_ID,MOW_ID
1,nomatch
2,nomatch
3,nomatch
4,nomatch
6,nomatch
7,nomatch
8,nomatch
9,nomatch
10,nomatch
11,nomatch
12,M62464
13,nomatch
15,nomatch
16,nomatch
18,nomatch
19,nomatch
20,nomatch
21,nomatch
22,nomatch
23,nomatch
24,nomatch
25,nomatch
26,nomatch
27,nomatch
28,nomatch
29,nomatch
30,nomatch
31,nomatch
32,nomatch
33,nomatch
34,nomatch
35,nomatch
37,nomatch
38,nomatch
39,nomatch
41,nomatch
42,nomatch
43,M218694
45,nomatch
47,nomatch
48,M96017
50,M47955
51,nomatch
52,nomatch
53,nomatch
54,nomatch
56,nomatch
57,nomatch
58,nomatch
59,nomatch
60,nomatch
62,nomatch
63,nomatch
64,nomatch
65,nomatch
66,nomatch
67,M11570
68,nomatch
69,nomatch
70,nomatch
71,nomatch
72,nomatch
73,nomatch
74,nomatch
75,nomatch
76,M73685
77,nomatch
78,nomatch
79,nomatch
82,nomatch
85,nomatch
86,nomatch
87,M30160
88,nomatch
89,nomatch
90,nomatch
91,nomatch
92,M96850
93,nomatch
94,M210767
95,M128522
97,nomatch
98,nomatch
99,nomatch
100,nomatch
101,M193460
102,nomatch
103,nomatch
104,nomatch
105,nomatch
106,nomatch
107,nomatch
108,nomatch
109,nomatch
110,nomatch
111,nomatch
112,nomatch
113,nomatch
114,M193086
115,nomatch
116,nomatch
117,nomatch
118,nomatch
120,M4639
121,M210700
122,nomatch
123,nomatch
124,nomatch
125,nomatch
126,M11459
127,nomatch
129,nomatch
131,M223530
132,nomatch
134,M193916
135,nomatch
136,nomatch
137,M42501
138,nomatch
139,nomatch
140,nomatch
141,nomatch
142,M183479
143,nomatch
145,nomatch
146,nomatch
147,M215131
148,M215133
149,nomatch
150,M48286
151,nomatch
152,nomatch
153,nomatch
154,nomatch
155,nomatch
156,nomatch
157,M64488
158,nomatch
159,nomatch
160,nomatch
161,nomatch
162,nomatch
163,nomatch
165,nomatch
166,nomatch
167,nomatch
168,nomatch
169,M71092
170,nomatch
171,nomatch
172,nomatch
173,M95253
174,M95253
175,nomatch
176,nomatch
177,nomatch
178,nomatch
179,nomatch
180,nomatch
181,nomatch
183,nomatch
184,nomatch
185,nomatch
186,nomatch
187,M43685
188,nomatch
189,M16248
190,nomatch
191,nomatch
192,nomatch
193,nomatch
194,nomatch
195,nomatch
196,nomatch
197,nomatch
198,M224608
199,nomatch
200,nomatch
201,nomatch
202,nomatch
203,nomatch
204,M217474
205,nomatch
207,nomatch
209,nomatch
210,nomatch
211,nomatch
212,nomatch
213,M19739
214,nomatch
215,nomatch
216,nomatch
217,nomatch
219,nomatch
220,M131039
221,nomatch
222,nomatch
224,nomatch
226,nomatch
227,M72904
228,nomatch
229,nomatch
230,M204783
231,nomatch
232,nomatch
233,M199869
234,M210738
235,M93373
236,nomatch
238,nomatch
239,nomatch
241,nomatch
243,nomatch
244,nomatch
245,nomatch
247,M25177
248,M192898
250,nomatch
251,nomatch
252,M51675
253,M225138
254,nomatch
255,nomatch
256,M46118
257,M20492
258,nomatch
259,nomatch
260,nomatch
261,nomatch
262,nomatch
263,nomatch
264,nomatch
265,M13408
266,nomatch
267,nomatch
268,nomatch
269,M33780
270,M63411
271,nomatch
272,nomatch
273,nomatch
274,nomatch
275,nomatch
276,nomatch
277,nomatch
278,nomatch
279,nomatch
280,nomatch
281,M29419
282,nomatch
283,nomatch
284,nomatch
285,M37813
287,nomatch
289,nomatch
291,nomatch
292,nomatch
293,M219227
295,M28035
296,M213761
299,nomatch
300,M98429
301,nomatch
302,nomatch
304,nomatch
305,nomatch
306,nomatch
307,nomatch
309,nomatch
310,nomatch
311,nomatch
312,nomatch
313,nomatch
314,M48439
316,nomatch
317,nomatch
319,nomatch
320,nomatch
321,nomatch
322,nomatch
323,nomatch
324,M9101
325,M21886
326,nomatch
327,nomatch
328,nomatch
329,nomatch
330,nomatch
331,nomatch
332,nomatch
333,nomatch
334,M190945
335,nomatch
336,nomatch
337,nomatch
338,nomatch
339,nomatch
340,M4708
341,M223209
343,nomatch
344,nomatch
345,nomatch
346,nomatch
348,M41337
349,nomatch
350,nomatch
351,nomatch
352,M222471
353,nomatch
354,nomatch
355,M216546
356,nomatch
357,nomatch
358,nomatch
359,nomatch
361,nomatch
362,M43808
364,nomatch
365,M42383
366,nomatch
367,M103632
368,M131788
369,M219909
370,M2387
371,nomatch
372,nomatch
373,M72593
374,nomatch
375,nomatch
376,nomatch
377,nomatch
378,M70284
379,M94799
380,nomatch
381,nomatch
382,nomatch
383,nomatch
384,nomatch
385,nomatch
386,nomatch
387,nomatch
388,nomatch
389,nomatch
390,nomatch
391,nomatch
392,nomatch
393,M48441
395,nomatch
396,nomatch
398,nomatch
399,nomatch
401,nomatch
402,nomatch
406,nomatch
408,nomatch
410,nomatch
411,nomatch
413,nomatch
414,M188565
416,nomatch
417,nomatch
418,nomatch
419,nomatch
420,nomatch
421,nomatch
422,nomatch
423,nomatch
424,nomatch
425,nomatch
426,nomatch
427,nomatch
428,nomatch
429,nomatch
431,nomatch
432,nomatch
433,nomatch
434,nomatch
435,nomatch
436,nomatch
438,nomatch
439,nomatch
440,nomatch
441,nomatch
443,nomatch
444,nomatch
445,nomatch
447,M95757
448,nomatch
449,nomatch
450,nomatch
451,M49872
452,M215094
453,nomatch
455,nomatch
456,nomatch
457,nomatch
458,nomatch
459,nomatch
460,nomatch
461,M93243
462,nomatch
463,nomatch
464,nomatch
465,nomatch
471,nomatch
472,nomatch
473,nomatch
474,nomatch
475,nomatch
476,nomatch
477,M127314
478,nomatch
479,nomatch
480,nomatch
481,nomatch
482,nomatch
483,nomatch
484,nomatch
487,nomatch
488,nomatch
489,nomatch
492,nomatch
493,nomatch
494,M202467
495,nomatch
496,nomatch
498,nomatch
499,nomatch
500,nomatch
501,nomatch
502,nomatch
503,nomatch
504,nomatch
505,nomatch
506,M19626
508,nomatch
509,nomatch
510,nomatch
511,M98341
512,nomatch
513,nomatch
514,nomatch
515,nomatch
516,nomatch
517,nomatch
518,nomatch
519,nomatch
520,nomatch
521,nomatch
522,nomatch
523,nomatch
524,nomatch
525,nomatch
526,nomatch
527,nomatch
528,nomatch
529,nomatch
530,M212033
531,nomatch
532,M195205
533,nomatch
534,nomatch
535,nomatch
536,nomatch
537,nomatch
538,M48424
542,nomatch
544,nomatch
545,M194693
546,M213925
547,M183048
548,nomatch
549,M94639
550,nomatch
551,nomatch
552,nomatch
553,nomatch
555,M41013
556,nomatch
557,nomatch
558,nomatch
560,nomatch
561,nomatch
562,nomatch
563,nomatch
564,nomatch
565,nomatch
566,nomatch
567,M202705
569,nomatch
570,nomatch
571,nomatch
573,nomatch
574,nomatch
576,nomatch
577,nomatch
578,nomatch
580,nomatch
581,nomatch
582,M127294
584,M127340
585,nomatch
587,nomatch
588,nomatch
589,nomatch
591,nomatch
592,nomatch
593,nomatch
594,nomatch
595,nomatch
596,nomatch
597,M176880
598,M216217
599,nomatch
600,nomatch
601,M215166
602,M96857
603,M230
604,nomatch
605,M199872
606,nomatch
607,nomatch
608,nomatch
610,M165614
611,nomatch
612,M96094
613,nomatch
614,nomatch
615,M188610
616,nomatch
617,M216917
618,M94516
619,M213130
620,nomatch
621,M212033
625,nomatch
626,nomatch
627,M212478
628,M49264
630,nomatch
631,nomatch
632,nomatch
633,nomatch
634,M127292
635,nomatch
636,nomatch
637,nomatch
642,nomatch
643,M48113
644,nomatch
645,nomatch
646,M131039
647,M131039
